date,temperature,temp_max,temp_min,precipitation,humidity,wind_speed,temp_roll7,temp_roll30,temp_roll_std7,temp_zscore_rolling
2024-12-16,17.71,19.29,16.68,0.01,70.94,2.72,18.738571428571426,19.387,0.8111807971802321,-0.15306306791346297
2024-12-17,18.05,19.58,17.14,0.08,72.69,2.89,18.512857142857143,19.287666666666667,0.7383475759131493,0.12935084308373165
2024-12-18,18.39,20.01,16.97,0.01,72.9,4.4,18.34857142857143,19.202333333333332,0.5833931942072237,0.39481162800966724
2024-12-19,17.85,19.41,16.61,0.2,73.12,4.36,18.142857142857142,19.099,0.42975629860442405,0.10171817190409935
2024-12-20,17.98,19.74,16.37,0.62,75.47,5.55,18.015714285714285,19.00433333333333,0.286580828787056,0.23883131094366797
2024-12-21,18.35,21.34,16.46,0.1,69.75,4.53,18.00857142857143,18.903666666666666,0.275827758539016,0.5296147134412417
2024-12-22,17.6,19.9,15.07,0.0,68.73,2.82,17.990000000000002,18.773000000000003,0.30094296248022273,0.09373400976462323
2024-12-23,17.69,20.4,15.8,0.0,68.11,5.45,17.987142857142857,18.627333333333336,0.3041224690649844,0.21429590870064386
2024-12-24,16.61,20.13,13.29,0.0,63.19,5.21,17.78142857142857,18.538999999999998,0.5987884593471515,-0.5399603961478326
2024-12-25,16.4,20.73,13.14,0.0,54.67,6.59,17.497142857142858,18.505333333333333,0.7215195605042231,-0.669614026703199
2024-12-26,14.74,17.76,11.97,0.0,58.29,5.53,17.052857142857142,18.432666666666666,1.239565976268938,-1.9887532669716277
2024-12-27,14.34,16.95,11.27,0.4,64.75,7.92,16.532857142857143,18.28966666666667,1.518021895820433,-2.394339719494342
2024-12-28,15.49,19.01,11.89,0.6,70.13,5.93,16.124285714285712,18.166666666666668,1.3193035680849623,-1.4390653808725882
2024-12-29,15.85,18.33,13.53,0.56,72.66,5.65,15.874285714285715,18.053333333333335,1.1477057860917117,-1.111838355929414
2024-12-30,15.78,17.29,14.84,0.38,68.09,5.86,15.601428571428572,17.939000000000004,0.8260635280538603,-1.180681550029368
2024-12-31,16.15,17.68,14.9,0.18,69.43,5.31,15.535714285714286,17.853,0.7469684764176779,-0.8117091745445294
2025-01-01,16.71,18.15,15.77,0.05,70.09,3.51,15.58,17.78666666666667,0.8130190649670154,-0.23747811075966457
2025-01-02,16.32,17.63,15.41,0.01,71.19,4.18,15.805714285714286,17.69433333333333,0.7584382449668513,-0.6281672874642382
2025-01-03,16.38,17.99,14.94,0.0,72.11,4.01,16.097142857142856,17.613666666666667,0.41600137362387407,-0.5645274033074408
2025-01-04,16.95,18.16,15.76,0.0,73.43,5.14,16.305714285714284,17.546666666666667,0.4267261863244764,0.05855710980512031
2025-01-05,17.55,18.88,16.26,0.04,72.94,5.53,16.548571428571428,17.46466666666667,0.5802708727086546,0.7476261160705807
2025-01-06,17.38,18.34,16.62,0.1,78.4,4.53,16.777142857142856,17.392333333333333,0.5408547027840034,0.657899985140107
2025-01-07,17.54,19.47,16.31,0.03,71.59,3.26,16.975714285714286,17.33833333333333,0.5272209259519717,0.8908735733000281
2025-01-08,17.19,18.84,15.49,0.0,66.22,4.54,17.044285714285714,17.282,0.5180365863157255,0.5262447452549291
2025-01-09,17.4,19.37,16.17,0.0,68.18,4.49,17.19857142857143,17.207666666666668,0.41742977738459747,0.769305001494372
2025-01-10,16.89,19.7,14.87,0.04,66.32,3.39,17.271428571428572,17.11933333333333,0.26878917211701403,0.156467103211577
2025-01-11,17.36,19.28,15.95,0.03,74.51,4.32,17.330000000000002,17.055,0.2287647991563833,0.6798787646225724
