,temperature,hour,day_of_week,month,is_weekend,month_sin,month_cos,lag_1,lag_24,lag_168,rolling_mean_24,rolling_std_24,rolling_mean_168,rolling_std_168
2022-07-23,20.13,0,5,7,1,-0.4999999999999997,-0.8660254037844388,17.56,16.4,5.45,19.360833333333336,2.8424528854137914,11.834642857142857,5.031657849060142
2022-07-24,21.15,0,6,7,1,-0.4999999999999997,-0.8660254037844388,20.13,14.73,8.03,19.51625,2.774689661456105,11.92202380952381,5.047559742362947
2022-07-25,19.21,0,0,7,0,-0.4999999999999997,-0.8660254037844388,21.15,15.74,5.69,19.78375,2.5969745147834775,12.000119047619048,5.08831324922805
2022-07-26,17.27,0,1,7,0,-0.4999999999999997,-0.8660254037844388,19.21,16.29,8.95,19.928333333333335,2.454755219651421,12.080595238095238,5.094826741294496
2022-07-27,17.32,0,2,7,0,-0.4999999999999997,-0.8660254037844388,17.27,16.29,8.06,19.969166666666666,2.399122877159535,12.130119047619049,5.1046413057132884
2022-07-28,17.5,0,3,7,0,-0.4999999999999997,-0.8660254037844388,17.32,16.8,4.27,20.012083333333333,2.3389034576181364,12.185238095238095,5.110420369221773
2022-07-29,19.82,0,4,7,0,-0.4999999999999997,-0.8660254037844388,17.5,16.65,3.12,20.04125,2.3011666464605973,12.263988095238094,5.0896113682772395
2022-07-30,20.88,0,5,7,1,-0.4999999999999997,-0.8660254037844388,19.82,18.32,4.69,20.173333333333332,2.186153395044998,12.363392857142859,5.073007567987537
2022-07-31,22.13,0,6,7,1,-0.4999999999999997,-0.8660254037844388,20.88,18.83,7.34,20.279999999999998,2.1540114246195197,12.459761904761903,5.0801387307641015
2022-08-01,21.12,0,0,8,0,-0.8660254037844385,-0.5000000000000004,22.13,20.24,6.48,20.4175,2.1627362901818787,12.547797619047618,5.118888168201874
2022-08-02,22.43,0,1,8,0,-0.8660254037844385,-0.5000000000000004,21.12,19.3,6.01,20.454166666666666,2.1670515265772274,12.634940476190474,5.13954516930573
2022-08-03,22.56,0,2,8,0,-0.8660254037844385,-0.5000000000000004,22.43,20.72,11.56,20.58458333333333,2.18864853906157,12.732678571428572,5.168850098925947
2022-08-04,19.71,0,3,8,0,-0.8660254037844385,-0.5000000000000004,22.56,21.86,7.93,20.66125,2.2255147181876107,12.798154761904764,5.223290613988537
