date,temp_max,temp_min,temp_mean,precipitation,humidity
2023-09-30,36.73,22.72,29.27,0.0,51.0
2023-10-01,30.7,23.38,26.59,0.0,53.25
2023-10-02,27.81,21.37,24.37,0.01,57.18
2023-10-03,32.14,19.17,25.42,0.0,52.05
2023-10-04,30.85,20.85,25.64,0.15,53.31
2023-10-05,34.64,20.92,27.29,0.0,54.79
2023-10-06,33.47,20.78,26.61,0.0,55.15
2023-10-07,32.05,19.41,25.66,0.0,53.66
2023-10-08,32.72,20.03,26.13,0.0,51.3
2023-10-09,33.31,20.67,26.46,0.0,56.57
2023-10-10,31.52,19.36,24.93,0.0,57.12
2023-10-11,31.98,18.46,24.74,0.0,56.2
2023-10-12,32.01,18.37,24.91,0.0,59.06
2023-10-13,31.9,19.32,25.34,0.03,61.98
2023-10-14,30.62,18.36,24.24,0.01,56.56
2023-10-15,30.23,19.76,24.0,0.0,52.05
2023-10-16,30.3,17.18,23.44,0.0,59.03
2023-10-17,30.05,17.98,23.66,0.0,58.61
2023-10-18,30.86,17.47,23.65,0.0,58.52
2023-10-19,31.74,17.92,24.12,0.0,54.84
2023-10-20,32.47,18.02,24.61,0.0,43.11
2023-10-21,31.18,17.92,23.89,0.0,55.0
2023-10-22,32.05,17.83,24.26,0.0,65.48
2023-10-23,32.75,19.34,24.86,0.0,64.28
2023-10-24,33.19,19.1,24.91,0.0,64.27
2023-10-25,34.59,18.25,25.61,0.0,60.02
2023-10-26,35.81,20.2,26.93,0.0,49.26
2023-10-27,33.16,20.3,25.8,0.0,56.58
2023-10-28,33.51,19.19,25.63,8.9,64.5
2023-10-29,32.06,20.46,25.28,11.9,71.83
2023-10-30,31.74,20.34,25.02,20.43,71.69
2023-10-31,30.03,19.73,24.02,11.63,74.02
2023-11-01,30.04,18.69,23.71,2.21,72.76
2023-11-02,29.56,18.34,22.83,2.1,69.82
2023-11-03,31.5,17.44,22.86,0.0,63.09
2023-11-04,31.87,16.54,23.23,0.0,52.77
2023-11-05,31.66,16.38,22.74,0.0,60.15
2023-11-06,31.79,15.68,22.6,0.0,59.33
2023-11-07,30.28,15.64,21.92,0.0,66.32
2023-11-08,29.01,16.19,21.69,0.0,75.13
2023-11-09,28.99,16.31,21.63,0.0,74.49
2023-11-10,28.11,16.83,21.35,0.0,73.46
2023-11-11,26.28,17.66,21.5,0.1,76.6
2023-11-12,29.04,18.57,23.0,0.33,70.73
2023-11-13,30.29,17.88,23.15,0.07,71.26
2023-11-14,26.27,16.78,20.88,0.05,71.42
2023-11-15,26.15,15.55,20.63,0.04,66.72
2023-11-16,26.18,15.15,20.03,0.02,72.08
2023-11-17,27.13,16.52,21.04,0.05,74.93
2023-11-18,26.76,16.51,20.35,0.0,67.48
2023-11-19,22.84,14.77,18.29,0.32,61.22
2023-11-20,21.89,13.76,16.95,0.04,62.39
2023-11-21,23.63,13.67,17.55,0.0,64.86
2023-11-22,24.31,12.61,16.53,0.17,70.08
2023-11-23,24.64,11.73,17.61,0.0,51.22
2023-11-24,24.91,11.75,17.48,0.0,49.44
2023-11-25,25.51,13.52,18.18,0.0,41.09
2023-11-26,23.01,11.05,16.29,0.0,53.65
2023-11-27,21.3,11.22,15.67,0.0,60.26
2023-11-28,20.64,10.05,15.09,0.0,59.84
2023-11-29,23.71,9.75,15.83,0.0,64.96
2023-11-30,24.69,10.95,16.93,0.01,75.14
2023-12-01,26.88,12.17,18.25,0.02,77.25
2023-12-02,24.61,13.63,17.62,0.0,78.32
2023-12-03,26.99,13.61,18.77,0.0,70.99
2023-12-04,25.71,14.07,18.48,0.0,63.84
2023-12-05,23.84,13.8,17.75,0.0,75.0
2023-12-06,22.69,11.67,16.18,0.0,68.44
2023-12-07,21.4,10.95,15.54,0.0,56.74
2023-12-08,20.27,11.69,14.77,0.0,60.54
2023-12-09,21.24,9.01,14.58,0.0,61.76
2023-12-10,23.33,9.33,15.84,0.0,54.68
2023-12-11,23.52,10.35,15.92,0.0,46.06
2023-12-12,21.6,8.09,14.16,0.74,66.78
2023-12-13,20.19,12.62,15.65,14.47,84.6
2023-12-14,22.42,12.57,17.1,1.6,74.31
2023-12-15,25.29,12.11,17.97,0.0,63.28
2023-12-16,24.84,11.53,17.22,0.0,59.23
2023-12-17,23.97,11.68,16.89,0.0,76.97
2023-12-18,23.43,13.74,17.93,0.0,77.0
2023-12-19,22.3,11.54,16.04,0.0,77.94
2023-12-20,19.38,10.46,14.51,0.0,83.22
2023-12-21,19.58,10.34,13.73,0.0,77.23
2023-12-22,20.0,8.04,13.45,0.0,63.26
2023-12-23,20.73,9.69,14.79,0.02,71.8
2023-12-24,21.74,12.25,16.3,0.17,70.47
2023-12-25,22.16,12.25,16.17,0.12,77.86
2023-12-26,22.09,10.62,15.73,0.02,81.04
2023-12-27,21.62,11.83,15.97,1.04,79.66
2023-12-28,21.23,12.97,16.3,5.97,83.54
2023-12-29,21.91,12.7,16.42,0.79,81.05
2023-12-30,22.57,10.42,16.1,0.5,78.26
2023-12-31,20.71,11.36,15.29,0.61,81.21
2024-01-01,20.61,9.47,14.91,0.01,77.14
2024-01-02,21.62,10.28,15.59,0.0,76.89
2024-01-03,20.92,10.22,14.39,0.0,76.49
2024-01-04,21.03,9.94,14.18,0.0,74.78
2024-01-05,21.08,8.51,13.86,0.0,67.17
2024-01-06,22.51,10.75,15.4,0.01,72.87
2024-01-07,22.89,9.36,14.6,0.0,62.53
2024-01-08,21.88,7.03,13.45,0.0,47.37
2024-01-09,19.41,4.86,10.95,0.0,49.07
2024-01-10,19.63,4.36,11.74,0.01,58.25
2024-01-11,17.77,8.8,13.03,0.29,73.91
2024-01-12,18.4,8.16,12.28,0.02,61.59
2024-01-13,19.96,6.87,12.1,0.02,57.33
2024-01-14,18.64,7.95,12.28,0.25,74.04
2024-01-15,18.77,6.53,11.71,0.01,69.75
2024-01-16,18.43,5.54,11.99,0.0,52.93
2024-01-17,21.06,8.79,13.8,0.0,44.82
2024-01-18,21.96,9.6,14.62,0.0,45.04
2024-01-19,22.6,9.36,15.49,0.0,47.82
2024-01-20,24.06,10.88,16.45,0.0,49.71
2024-01-21,25.25,11.61,16.35,0.0,38.44
2024-01-22,22.37,7.87,14.28,0.05,59.9
2024-01-23,19.56,10.45,14.53,0.08,68.44
2024-01-24,16.87,9.33,12.49,0.2,66.65
2024-01-25,16.22,8.23,11.91,0.52,77.73
2024-01-26,18.54,8.11,13.11,0.76,72.21
2024-01-27,18.44,9.76,13.18,0.4,68.3
2024-01-28,16.75,9.02,12.19,0.46,69.61
2024-01-29,17.25,6.58,11.17,0.71,74.54
2024-01-30,15.3,4.39,9.4,0.03,66.9
2024-01-31,15.78,3.32,8.49,42.54,71.86
2024-02-01,15.62,4.44,8.91,1.96,78.52
