time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum
2023-09-06,41.8,24.5,34.3,0.0
2023-09-07,43.0,26.6,35.6,0.0
2023-09-08,42.5,28.6,36.2,0.0
2023-09-09,42.5,26.3,35.5,0.0
2023-09-10,43.0,28.5,36.1,0.0
2023-09-11,43.1,29.4,36.2,0.0
2023-09-12,43.3,30.0,36.8,0.0
2023-09-13,42.5,28.3,36.1,0.0
2023-09-14,41.1,26.9,34.5,0.0
2023-09-15,42.0,27.6,34.7,0.0
2023-09-16,42.4,27.4,34.8,0.0
2023-09-17,42.2,29.3,35.3,0.0
2023-09-18,42.4,26.3,34.9,0.0
2023-09-19,41.3,26.5,34.5,0.0
2023-09-20,40.8,27.9,34.7,0.0
2023-09-21,40.9,27.9,34.4,0.0
2023-09-22,40.7,28.3,34.5,0.0
2023-09-23,41.3,25.3,34.1,0.0
2023-09-24,40.7,25.8,33.7,0.0
2023-09-25,41.3,27.0,34.3,0.0
2023-09-26,41.3,29.2,34.7,0.0
2023-09-27,40.3,26.9,33.4,0.0
2023-09-28,39.2,25.3,32.6,0.0
2023-09-29,40.6,25.2,33.0,0.0
2023-09-30,38.3,24.2,31.4,0.0
2023-10-01,37.7,23.5,31.0,0.0
2023-10-02,40.3,25.4,32.7,0.0
2023-10-03,40.3,24.6,32.8,0.0
2023-10-04,40.7,23.9,32.8,0.0
2023-10-05,38.9,22.6,31.3,0.0
2023-10-06,36.7,24.5,30.5,0.0
2023-10-07,39.5,23.4,31.3,0.0
2023-10-08,38.9,23.7,31.5,0.0
2023-10-09,38.6,24.5,31.8,0.0
2023-10-10,38.1,24.2,30.9,0.0
2023-10-11,38.0,24.1,30.7,0.0
2023-10-12,37.8,23.5,30.6,0.0
2023-10-13,36.9,23.3,29.6,0.0
2023-10-14,36.7,20.0,28.2,0.0
2023-10-15,37.3,19.4,29.1,0.0
2023-10-16,34.2,20.8,27.8,0.0
2023-10-17,33.6,20.7,26.9,0.0
2023-10-18,37.3,22.2,29.3,0.0
2023-10-19,36.7,23.6,30.1,0.0
2023-10-20,35.2,19.3,27.2,0.0
2023-10-21,35.1,21.1,27.4,0.0
2023-10-22,35.0,22.5,28.5,0.0
2023-10-23,34.4,22.4,28.1,0.0
2023-10-24,34.1,22.1,28.3,0.0
2023-10-25,32.2,22.0,26.9,0.0
2023-10-26,30.9,19.9,25.5,0.0
2023-10-27,31.2,21.2,26.3,0.0
2023-10-28,31.7,20.5,26.3,0.0
2023-10-29,30.8,21.6,26.2,0.0
2023-10-30,30.0,20.2,24.9,0.1
2023-10-31,27.9,18.5,23.3,2.8
2023-11-01,28.0,19.0,23.6,0.5
2023-11-02,22.8,18.6,20.6,12.9
2023-11-03,27.7,18.9,22.4,0.0
2023-11-04,27.5,18.3,22.2,0.7
2023-11-05,28.8,18.4,22.6,0.1
2023-11-06,28.3,17.4,22.4,0.0
2023-11-07,29.0,17.3,23.2,0.0
2023-11-08,29.4,17.5,23.3,0.0
2023-11-09,28.0,16.6,22.2,0.0
2023-11-10,27.5,15.2,21.6,0.0
2023-11-11,29.1,17.7,22.7,0.0
2023-11-12,29.2,16.8,23.1,0.0
2023-11-13,30.3,19.1,24.5,0.0
2023-11-14,31.4,20.4,25.2,0.4
2023-11-15,26.8,18.2,21.3,0.6
2023-11-16,23.0,15.7,18.9,9.9
2023-11-17,22.8,14.1,17.7,0.0
2023-11-18,25.4,13.7,19.2,0.3
2023-11-19,25.8,17.2,20.6,16.0
2023-11-20,22.6,14.9,19.1,0.0
2023-11-21,20.6,12.2,16.1,0.0
2023-11-22,20.1,12.4,15.2,0.1
2023-11-23,27.8,12.8,18.7,0.0
2023-11-24,21.3,12.5,17.0,0.0
2023-11-25,23.6,10.4,16.5,0.0
2023-11-26,29.4,16.7,22.1,0.0
2023-11-27,29.0,15.6,22.0,0.0
2023-11-28,23.2,13.5,18.0,0.0
2023-11-29,22.7,11.3,16.5,0.0
2023-11-30,24.8,11.1,17.6,0.0
2023-12-01,26.3,13.6,19.4,0.0
2023-12-02,25.5,13.1,19.0,0.0
2023-12-03,25.2,12.0,18.7,0.0
2023-12-04,25.1,12.5,18.8,0.0
2023-12-05,23.9,12.1,17.6,0.0
2023-12-06,26.8,11.5,18.3,0.0
2023-12-07,27.2,11.8,19.2,0.0
2023-12-08,27.5,13.1,20.0,0.0
2023-12-09,27.6,14.4,20.2,0.0
2023-12-10,27.0,13.9,19.7,0.0
2023-12-11,25.5,11.2,18.3,0.0
2023-12-12,25.5,12.6,18.8,0.0
2023-12-13,21.3,13.8,17.8,5.8
2023-12-14,19.6,9.5,14.3,0.0
